uwi,event_date,event_type,horizon,field,effect,description
WELL_001,2024-09-03,Pump replacement,A2,South,0.0,Pump replacement for well WELL_001 on horizon A2
WELL_002,2024-04-22,Hydraulic fracturing,A3,West,2.04,Hydraulic fracturing for well WELL_002 on horizon A3
WELL_002,2025-01-11,Isolation of water influx,A3,West,0.0,Isolation of water influx for well WELL_002 on horizon A3
WELL_002,2024-05-12,Treatment of the near-well zone,A3,West,2.06,Treatment of the near-well zone for well WELL_002 on horizon A3
WELL_002,2023-08-23,Hydraulic fracturing,A3,West,1.87,Hydraulic fracturing for well WELL_002 on horizon A3
WELL_002,2023-07-28,Treatment of the near-well zone,A3,West,1.85,Treatment of the near-well zone for well WELL_002 on horizon A3
WELL_003,2025-02-15,Change of horizon,B1,East,0.0,Change of horizon for well WELL_003 on horizon B1
WELL_003,2023-06-24,Pump replacement,B1,East,0.0,Pump replacement for well WELL_003 on horizon B1
WELL_004,2024-06-08,Workover,B2,Central,2.85,Workover for well WELL_004 on horizon B2
WELL_004,2023-06-15,Optimization,B2,Central,0.0,Optimization for well WELL_004 on horizon B2
WELL_004,2023-07-25,Optimization,B2,Central,0.0,Optimization for well WELL_004 on horizon B2
WELL_004,2023-11-08,Well intervention,B2,Central,0.0,Well intervention for well WELL_004 on horizon B2
WELL_004,2024-02-08,Change of horizon,B2,Central,0.0,Change of horizon for well WELL_004 on horizon B2
WELL_005,2025-03-23,Change of horizon,B3,North,0.0,Change of horizon for well WELL_005 on horizon B3
WELL_006,2024-06-27,Treatment of the near-well zone,C1,South,1.47,Treatment of the near-well zone for well WELL_006 on horizon C1
WELL_006,2024-04-20,Hydraulic fracturing,C1,South,1.76,Hydraulic fracturing for well WELL_006 on horizon C1
WELL_006,2023-08-23,Optimization,C1,South,0.0,Optimization for well WELL_006 on horizon C1
WELL_006,2023-10-14,Hydraulic fracturing,C1,South,2.64,Hydraulic fracturing for well WELL_006 on horizon C1
WELL_006,2024-08-26,Isolation of water influx,C1,South,0.0,Isolation of water influx for well WELL_006 on horizon C1
WELL_007,2024-08-08,Workover,C2,West,2.8,Workover for well WELL_007 on horizon C2
WELL_007,2023-02-21,Workover,C2,West,1.03,Workover for well WELL_007 on horizon C2
WELL_008,2024-10-02,Isolation of water influx,D1,East,0.0,Isolation of water influx for well WELL_008 on horizon D1
WELL_009,2025-02-16,Treatment of the near-well zone,D2,Central,2.82,Treatment of the near-well zone for well WELL_009 on horizon D2
WELL_010,2024-10-19,Optimization,A1,North,0.0,Optimization for well WELL_010 on horizon A1
WELL_010,2023-08-06,Treatment of the near-well zone,A1,North,1.81,Treatment of the near-well zone for well WELL_010 on horizon A1
WELL_010,2023-06-11,Pump replacement,A1,North,0.0,Pump replacement for well WELL_010 on horizon A1
WELL_010,2023-07-04,Pump replacement,A1,North,0.0,Pump replacement for well WELL_010 on horizon A1
WELL_010,2023-12-09,Optimization,A1,North,0.0,Optimization for well WELL_010 on horizon A1
WELL_011,2024-06-23,Treatment of the near-well zone,A2,South,2.81,Treatment of the near-well zone for well WELL_011 on horizon A2
WELL_012,2025-02-06,Optimization,A3,West,0.0,Optimization for well WELL_012 on horizon A3
WELL_013,2024-04-12,Hydraulic fracturing,B1,East,2.43,Hydraulic fracturing for well WELL_013 on horizon B1
WELL_013,2024-09-07,Change of horizon,B1,East,0.0,Change of horizon for well WELL_013 on horizon B1
WELL_014,2023-11-14,Optimization,B2,Central,0.0,Optimization for well WELL_014 on horizon B2
WELL_014,2024-02-23,Pump replacement,B2,Central,0.0,Pump replacement for well WELL_014 on horizon B2
